filename,count,stem_color_RGB,primary_RGB,secondary_RGB,stem_color_XYZ,primary_XYZ,secondary_XYZ,stem_color_LAB,primary_LAB,secondary_LAB,stem_color_HSI,primary_HSI,secondary_HSI
Flower_jtca001.jpg,16,"(35, 72, 55)","(255, 219, 79)","(209, 40, 21)","(13580.781510072497, 19915.506962602409, 11978.013465515305)","(373715.70861028851, 379906.11541121872, 65240.823444409863)","(144585.09029325732, 76970.29342761416, 6079.0474530295251)","(3128.2840882027704, -1477.9744063246767, 542.4870951506578)","(8385.369466446025, 242.31034336861512, 5901.279131005026)","(4918.377479921592, 5294.662075687128, 4616.017707922543)","(152.43243243243245, -0.3523809523809524, 53.5)","(47.72727272727275, -0.5301204819277109, 167.0)","(6.063829787234056, -0.8245614035087719, 115.0)"
Hippie-flower_-_Virginia_-_ForestWander.jpg,30,"(51, 89, 68)","(242, 223, 0)","(246, 27, 47)","(24149.964299652787, 33912.698325642457, 19970.715142280693)","(348417.7774092622, 375805.24666040402, 43401.173396364786)","(212217.29257658758, 109422.86394643337, 13433.835269986388)","(3738.730508104087, -1555.110792434924, 688.6331862555992)","(8355.03071747783, -468.7964928724, 6939.467783539984)","(5532.3095318772785, 6273.142019936792, 4497.211792048269)","(146.8421052631579, -0.2753623188405797, 70.0)","(55.28925619834712, -1.0083333333333333, 121.0)","(354.52054794520546, -0.8081180811808119, 136.5)"
hd-flower-wallpaper-pics.jpg,15,"(101, 155, 41)","(253, 237, 36)","(255, 243, 44)","(86969.836037262838, 127032.10268296202, 20910.004539353089)","(394878.25747683784, 430603.37494080054, 53365.823644782853)","(410070.48010334541, 452487.43880487233, 58262.431241968414)","(5815.261060067191, -2711.3780223110275, 4179.547586467072)","(8743.590401240237, -626.2210432812481, 7074.947684592795)","(8889.538081104132, -785.1074266144522, 7088.198957300566)","(88.42105263157895, -0.5876288659793815, 98.0)","(55.57603686635946, -0.7560975609756098, 144.5)","(56.58767772511851, -0.7104377104377104, 149.5)"
flower-171644_640.jpg,5,"(6, 6, 6)","(206, 147, 215)","(7, 5, 6)","(63.890990194209451, 66.26234603276346, 54.687455911031222)","(240971.92461495585, 191494.90064381808, 266967.18907921365)","(67.724945223205779, 56.094939750122236, 52.834336671902598)","(453.404150419384, -0.0051628712487428174, -0.03505359158673116)","(6670.164547015298, 2674.7326455876428, -2201.8327276222153)","(428.05069199818826, 148.96441766102942, -34.50085660033393)","(0.0, 0.0, 6.0)","(292.05882352941177, -0.18888888888888888, 181.0)","(330.0, -0.2, 6.0)"
flower-171644_640.jpg,5,"(7, 9, 8)","(200, 143, 212)","(214, 124, 136)","(127.53730788697756, 154.03394488774225, 112.12534424052592)","(226473.57880732906, 179574.23533719996, 257541.57990137406)","(202775.65878276314, 150466.22911652291, 96821.592846452288)","(605.8182562991133, -132.6952907009642, 43.9032074450008)","(6528.4426232609485, 2640.862093964728, -2282.659641998815)","(6153.798798264443, 3139.8043106232267, 846.459566025429)","(150.0, -0.14285714285714285, 8.0)","(289.5652173913044, -0.1954674220963173, 177.5)","(352.0, -0.26785714285714285, 169.0)"
